2003	9	24.9	150	70	15
2003	10	16.9	93	66	15
2003	11	14.5	190	76	15
2003	12	7.1	33	70	14
2004	1	4.3	18.5	63	15
2004	2	6.2	40.5	63	15
2004	3	9.1	71.5	59	15
2004	4	15.6	88.5	55	15
2004	5	20	227.5	73	7
2004	6	24	186.5	71	7
2004	7	28.6	64	66	7
2004	8	27.5	114	70	7
2004	9	25	450.5	75	7
2004	10	18.3	489.5	71	15
2004	11	14.1	94.5	68	15
2004	12	8.6	102	65	15
2005	1	4.6	10.5	63	14
2005	2	4.8	67.5	65	14
2005	3	7.8	131.5	62	14
2005	4	15	57	57	15
2005	5	18.3	111.5	62	15
2005	6	24	57.5	69	7
2005	7	26.7	138.5	71	7
2005	8	28.1	84.5	68	7
2005	9	25.5	69.5	69	15
2005	10	19	92.5	71	15
2005	11	11.6	47	63	15
2005	12	3.4	33	70	14
2006	1	3.8	49.5	61	15
2006	2	5.5	124.5	65	15
2006	3	7.8	117.5	61	14
2006	4	13	104.5	56	14
2006	5	18.7	205	68	7
2006	6	23.3	221	67	6
2006	7	26.2	275	73	7
2006	8	28.5	89	64	7
2006	9	23.9	167	68	15
2006	10	19.5	89	66	15
2006	11	13.2	59	65	15
2006	12	7.6	110.5	65	15
2007	1	6.1	36.5	60	15
2007	2	7.7	62	55	15
2007	3	9	86.5	51	15
2007	4	14	29.5	52	14
2007	5	19	128	58	15
2007	6	23.1	210	66	7
2007	7	25.2	339.5	72	14
2007	8	29.1	60	64	7
2007	9	26.1	119	69	7
2007	10	19.1	90.5	64	15
2007	11	12.5	18	61	15
2007	12	8	90	65	15
2008	1	5.1	26.5	57	15
2008	2	4	52	57	15
2008	3	10.4	152	54	15
2008	4	15.3	198.5	58	14
2008	5	19.6	211.5	60	15
2008	6	22.4	228.5	69	7
2008	7	28.2	33.5	64	7
2008	8	28.1	339.5	65	7
2008	9	24.3	171	67	15
2008	10	19	101.5	65	0
2008	11	12.2	41	62	15
2008	12	8	24	62	0
2009	1	5.3	109.5	60	15
2009	2	7.3	74	56	14
2009	3	9.5	115	53	15
2009	4	15.4	125.5	52	14
2009	5	19.9	188	60	15
2009	6	23.3	240	63	7
2009	7	26.4	254	73	7
2009	8	27.3	128	66	7
2009	9	24.1	51.5	61	15
2009	10	18.5	211.5	62	15
2009	11	12.9	200.5	63	15
2009	12	7.6	58	60	15
2010	1	4.6	11.5	62	14
2010	2	7	137	63	14
2010	3	9.1	211	61	15
2010	4	13.3	183.5	58	15
2010	5	18.7	167	58	14
2010	6	23.9	259	66	7
2010	7	27.8	208.5	69	7
2010	8	29.4	63.5	67	7
2010	9	26.1	190.5	63	15
2010	10	19.4	179.5	71	15
2010	11	12.1	43	65	15
2010	12	7.9	76	66	15
2011	1	2.8	9.5	67	15
2011	2	6.6	114	62	15
2011	3	7.5	43	57	14
2011	4	13.3	111.5	56	15
2011	5	19	330.5	67	15
2011	6	23.8	171	76	7
2011	7	27.5	262	74	6
2011	8	28.3	116	73	7
2011	9	25.1	388.5	71	7
2011	10	18.8	133	66	15
2011	11	13.9	82.5	70	15
2011	12	6.7	24	68	15
2012	1	4.2	35	65	15
2012	2	4.1	109.5	66	15
2012	3	8.3	147.5	64	15
2012	4	14.2	144	66	15
2012	5	19.2	55.5	62	14
2012	6	22.3	200	72	7
2012	7	26.9	224	75	7
2012	8	28.4	142.5	71	7
2012	9	25.8	233.5	70	6
2012	10	19	102.5	63	15
2012	11	11.3	78	65	15
2012	12	5.3	95.5	68	15
2013	1	4	51.5	63	14
2013	2	4.6	68.5	62	15
2013	3	10.5	54	54	15
2013	4	13.8	130.5	58	15
2013	5	19.4	63.5	59	15
2013	6	23.6	148.5	72	7
2013	7	28.1	186.5	69	6
2013	8	29.3	136	66	7
2013	9	24.9	280	68	15
2013	10	20.2	236	69	15
2013	11	11.5	51	67	15
2013	12	6.4	57.5	65	15
